iter	Passed	Remaining
0	1	101
1	2	103
2	3	101
3	3	93
4	4	91
5	5	88
6	6	86
7	7	86
8	8	84
9	9	84
10	10	82
11	11	81
12	11	80
13	12	79
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	18	72
20	19	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	66
27	25	64
28	26	63
29	26	62
30	27	61
31	28	61
32	29	59
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	53
41	37	51
42	38	50
43	39	49
44	40	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	48	41
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
